borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
MN,280000,1900.0,2404.0,6875.0,6875.0,0.0,18.0,18.0,5.0,40.7244153,-73.9838913,2.0,C6,125.0
MN,2000000,1900.0,1919.0,7810.0,6810.0,1000.0,8.0,10.0,5.0,40.7249749,-73.9815353,2.0,C4,125.0
MN,3400000,1920.0,2150.0,6152.0,5352.0,800.0,8.0,9.0,5.0,40.7253457,-73.9831118,4.0,C7,105.0
MN,4000000,1855.0,2369.0,6990.0,6990.0,0.0,10.0,10.0,5.0,40.7273984,-73.9806001,2.0,C4,170.0
MN,655000,1920.0,5298.0,17990.0,17990.0,0.0,20.0,20.0,5.0,40.7206214,-73.9795343,2.0,C6,105.0
SI,470000,1944.0,3132.0,2440.0,440.0,2000.0,1.0,2.0,2.0,40.6131374,-74.1258779,4.0,K4,81.0
SI,474000,1944.0,3132.0,2440.0,440.0,2000.0,1.0,2.0,2.0,40.6131374,-74.1258779,4.0,K4,81.0
BK,1050000,1899.0,1400.0,2700.0,2700.0,0.0,3.0,3.0,3.0,40.6780766,-73.9999603,2.0,C0,126.0
MN,330000,1902.0,3082.0,17556.0,17556.0,0.0,19.0,19.0,6.0,40.7226247,-73.9777875,2.0,C6,123.0
MN,425000,1900.0,3772.0,15086.0,14086.0,1000.0,22.0,24.0,6.0,40.7237366,-73.9787829,2.0,C6,125.0
MN,375000,1900.0,3772.0,15086.0,14086.0,1000.0,22.0,24.0,6.0,40.7237366,-73.9787829,2.0,C6,125.0
MN,2337500,1908.0,2065.0,5922.0,5922.0,0.0,5.0,5.0,3.0,40.7235992,-73.9782815,2.0,C6,117.0
MN,154196,1920.0,2772.0,13248.0,13248.0,0.0,19.0,19.0,6.0,40.7230912,-73.9770767,2.0,C6,105.0
MN,1164000,2001.0,4825.0,9664.0,9664.0,0.0,13.0,13.0,6.0,40.7239038,-73.9778737,2.0,C6,24.0
MN,449000,1900.0,2381.0,7986.0,7986.0,0.0,17.0,17.0,6.0,40.7240521,-73.9782236,2.0,C6,125.0
MN,3100000,1920.0,3276.0,16747.0,15747.0,1000.0,16.0,18.0,6.0,40.7231713,-73.9798654,2.0,C6,105.0
MN,275000,1930.0,2272.0,10698.0,10698.0,0.0,14.0,14.0,6.0,40.7245136,-73.9804458,2.0,C6,95.0
MN,395000,1900.0,2271.0,10800.0,10800.0,0.0,21.0,23.0,6.0,40.7244148,-73.9802078,2.0,C6,125.0
MN,650000,1900.0,2272.0,10800.0,10100.0,700.0,19.0,20.0,6.0,40.7243818,-73.9801284,2.0,C6,125.0
MN,915000,1950.0,2271.0,8720.0,8720.0,0.0,12.0,12.0,5.0,40.7240825,-73.9794178,2.0,C6,75.0
MN,425000,1950.0,2271.0,8720.0,8720.0,0.0,12.0,12.0,5.0,40.7240825,-73.9794178,2.0,C6,75.0
SI,685000,1950.0,3498.0,928.0,928.0,0.0,1.0,1.0,1.0,40.6239577,-74.1329265,1.0,A2,75.0
SI,575000,1920.0,3000.0,1296.0,1296.0,0.0,1.0,1.0,2.0,40.623652,-74.1338733,1.0,A1,105.0
MN,216635,1900.0,3900.0,18099.0,18099.0,0.0,29.0,29.0,6.0,40.7247194,-73.9798108,2.0,C6,125.0
